ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
b2e73a66-36d7-4e8f-abf7-38acdb758706;Капитан Подштанник: Первый эпический фильм;Captain Underpants: The First Epic Movie;2017;США, Канада, Франция, Великобритания, Индия;action, family, for_child, comedy;6.0;Дэвид Сорен;action, family, for_child, comedy
35b5ed9d-e9c6-493c-a5a9-0b98d7485204;Cлучайный роман;De vrais mensonges;2010;Франция;melodrama, comedy;;Пьер Сальвадори;melodrama, comedy
8305cf73-52c6-46a9-8c53-ec220ab2def0;Двое;Dvoe;2018;Россия;drama;;Тимофей Жалнин;drama
9a596e75-3891-4320-b07d-d4d868cb93dd;Дети Хуанг Ши;Children of Huang Shi;2008;Австралия, Китай, Германия, США;drama, military;7.4;Роджер Споттисвуд;drama, military
d4671469-a05a-4906-8b0c-aa6a6d12004a;Ехали два шофера;Ekhali dva shofyora;2001;Россия;melodrama, comedy;6.4;Александр Котт;melodrama, comedy
d25adc72-b33e-4ef0-9c42-661a77d093f7;Фрэнки;Frenki;2019;Франция, Португалия;drama;5.5;Айра Сакс;drama
2b43e19e-5b49-49be-91db-fc07abb36e95;Бекки;Becky;2020;США;drama, thriller, action;5.0;Джонатан Милотт;drama, thriller, action
4653b3b8-c1f0-4a06-87e0-ab6e70b4a104;Кругосветное путешествие Элькано и Магеллана;null;2019;Испания;family, for_child;5.0;Анхель Алонсо;family, for_child
cb46e2c3ab20fc424b10d;Жертвуя пешкой;Pawn Sacrifice;2014;США;drama;5.0;Эдвард Цвик;drama
1da54cd3-d881-4e11-af48-33c08dc9ac7c;Хотел бы я быть здесь;Wish I was here;2014;США;drama, comedy;7.1;Зак Брафф;drama, comedy
d8a1724c-36b5-43e6-a51b-9f85ab73e920;Ясновидящая;Yasnovidyashchaya;2008;Россия;drama, thriller;5.0;Илья Хотиненко;drama, thriller
6b25737e-5285-4955-94c0-ee27060fc1a6;Спасти Ленинград;Spasti Leningrad;2019;Россия;drama, military;;Алексей Козлов;drama, military
